@name,followers,following,tweets
ladygaga,9097060,144073,654
justinbieber,8465937,110915,8562
britneyspears,7263054,416316,671
barackobama,7198417,700748,1299
kimkardashian,6944340,129,7065
aplusk,6501379,622,6566
katyperry,6445804,69,2713
theellenshow,6289686,48784,4111
taylorswift13,5781560,54,885
oprah,5455368,30,278
shakira,5059823,38,934
twitter,4724860,456,1068
selenagomez,4584413,480,1501
twitter_es,4400375,20,399
50cent,4314987,2,3635
jtimberlake,4229893,20,473
ryanseacrest,4221722,377,4544
rihanna,4212414,313,1504
ashleytisdale,4114310,105,1540
cnnbrk,4101761,40,8845
mariahcarey,4085304,47,2114
parishilton,3683301,1735,7018
the_real_shaq,3660119,627,3575
eminem,3650073,0,118
jessicasimpson,3602015,79,693
coldplay,3588165,2466,798
pink,3570141,106,2496
iamdiddy,3522100,1189,12087
mrskutcher,3446428,205,4464
aliciakeys,3396158,163,1250
jimmyfallon,3361748,3274,3502
twitpic,3342059,28143,463
charliesheen,3293980,36,143
chelseahandler,3277143,45,2312
kaka,3229966,314,1915
perezhilton,3138750,296,32697
nytimes,3055071,435,61107
snoopdogg,2985663,1339,5381
nickiminaj,2938585,627,7625
google,2918918,361,2299
kanyewest,2880679,0,1402
huckluciano,2869924,250,4492
tyrabanks,2859143,598,1460
ubersoc,2845950,1926,8276
jimcarrey,2832556,1,2301
ddlovato,2803033,113,4648
eonline,2798585,32893,31292
lancearmstrong,2780985,221,6782
conanobrien,2771171,1,422
lilyroseallen,2760701,132,2713
khloekardashian,2750847,110,16088
soujaboy,2706201,495,26248
theonion,2704976,2,7692
jonasbrothers,2698367,2109,1172
ricky_martin,2628854,145,2262
peoplemag,2460670,606,5995
time,2432533,308,21494
ashsimpsonwentz,2411791,84,175
nba,2408046,842,16081
stephenfry,2396700,52764,8127
billgates,2392666,63,270
nickjonas,2390228,133,1425
nickcannon,2363713,504,4246
kourtneykardash,2357577,43,2012
tonyhawk,2354347,271,4419
breakingnews,2336977,360,49241
johnlegend,2269666,191,2696
rainnwilson,2252854,198,4688
themandymoore,2249060,36,696
ivetesangalo,2245944,236,17837
mashable,2241026,2231,33497
algore,2227440,9,309
petewentz,2226744,232,6847
cristiano,2207766,52,521
lennykravitz,2203660,1896,569
youtube,2195717,235,3451
noaheverett,2192578,1075,3852
marthastewart,2170806,8216,2395
chrisbrown,2169497,574,1193
106andpark,2157661,220,3274
s***mydadsays,2153407,1,138
drdrew,2142125,263,2274
stephenathome,2142015,0,1431
giulianarancic,2115177,308,3434
juanes,2106882,556,4046
joelmchale,2088173,130,1350
rustyrockets,2088018,58,1838
mchammer,2068458,37088,16629
drakkardnoir,2058271,255,384
whitehouse,2027599,120,2298
nfl,2006069,135,4303
sarabareilles,1999575,65,803
schwarzenegger,1987976,109843,1333
serenawilliams,1986802,107,8077
alyankovic,1984377,197,1163
nellyfurtado,1978102,241,1571
revrunwisdom,1975057,0,8512
denise_richars,1966927,141,6072
funnyordie,1966074,2950,4210
instyle,1941157,2078,12085
Thiessen,35,60,105
